Index,Hogwarts House
151,Gryffindor
152,Gryffindor
153,Slytherin
154,Slytherin
155,Hufflepuff
156,Gryffindor
157,Hufflepuff
158,Ravenclaw
159,Ravenclaw
160,Hufflepuff
161,Hufflepuff
162,Hufflepuff
163,Slytherin
164,Ravenclaw
165,Hufflepuff
166,Hufflepuff
167,Hufflepuff
168,Slytherin
169,Gryffindor
170,Ravenclaw
171,Gryffindor
172,Gryffindor
173,Ravenclaw
174,Hufflepuff
175,Gryffindor
176,Ravenclaw
177,Hufflepuff
178,Ravenclaw
179,Ravenclaw
180,Slytherin
181,Hufflepuff
182,Ravenclaw
183,Slytherin
184,Slytherin
185,Hufflepuff
186,Hufflepuff
187,Slytherin
188,Hufflepuff
189,Gryffindor
190,Slytherin
191,Hufflepuff
192,Ravenclaw
193,Hufflepuff
194,Slytherin
195,Hufflepuff
196,Hufflepuff
197,Ravenclaw
198,Gryffindor
199,Slytherin
200,Hufflepuff
201,Gryffindor
202,Ravenclaw
203,Ravenclaw
204,Gryffindor
205,Hufflepuff
206,Gryffindor
207,Hufflepuff
208,Hufflepuff
209,Ravenclaw
210,Hufflepuff
211,Gryffindor
212,Slytherin
213,Slytherin
214,Ravenclaw
215,Hufflepuff
216,Gryffindor
217,Ravenclaw
218,Gryffindor
219,Gryffindor
220,Hufflepuff
221,Hufflepuff
222,Gryffindor
223,Slytherin
224,Gryffindor
225,Ravenclaw
226,Hufflepuff
227,Gryffindor
228,Hufflepuff
229,Hufflepuff
230,Hufflepuff
231,Gryffindor
232,Hufflepuff
233,Ravenclaw
234,Hufflepuff
235,Hufflepuff
236,Slytherin
237,Ravenclaw
238,Hufflepuff
239,Hufflepuff
240,Hufflepuff
241,Gryffindor
242,Hufflepuff
243,Hufflepuff
244,Hufflepuff
245,Hufflepuff
246,Gryffindor
247,Hufflepuff
248,Gryffindor
249,Ravenclaw
250,Ravenclaw
251,Slytherin
252,Slytherin
253,Gryffindor
254,Hufflepuff
255,Ravenclaw
256,Ravenclaw
257,Slytherin
258,Gryffindor
259,Ravenclaw
260,Slytherin
261,Hufflepuff
262,Ravenclaw
263,Gryffindor
264,Slytherin
265,Slytherin
266,Slytherin
267,Ravenclaw
268,Hufflepuff
269,Ravenclaw
270,Gryffindor
271,Ravenclaw
272,Hufflepuff
273,Hufflepuff
274,Ravenclaw
275,Ravenclaw
276,Ravenclaw
277,Hufflepuff
278,Hufflepuff
279,Gryffindor
280,Hufflepuff
281,Ravenclaw
282,Hufflepuff
283,Hufflepuff
284,Ravenclaw
285,Ravenclaw
286,Gryffindor
287,Hufflepuff
288,Hufflepuff
289,Gryffindor
290,Gryffindor
291,Hufflepuff
292,Hufflepuff
293,Hufflepuff
294,Gryffindor
295,Gryffindor
296,Hufflepuff
297,Gryffindor
298,Ravenclaw
299,Hufflepuff
300,Gryffindor
301,Hufflepuff
302,Slytherin
303,Hufflepuff
304,Hufflepuff
305,Gryffindor
306,Slytherin
307,Ravenclaw
308,Hufflepuff
309,Slytherin
310,Ravenclaw
311,Hufflepuff
312,Slytherin
313,Hufflepuff
314,Gryffindor
315,Gryffindor
316,Ravenclaw
317,Slytherin
318,Slytherin
319,Hufflepuff
320,Hufflepuff
321,Slytherin
322,Slytherin
323,Gryffindor
324,Hufflepuff
325,Ravenclaw
326,Ravenclaw
327,Slytherin
328,Gryffindor
329,Ravenclaw
330,Slytherin
331,Hufflepuff
332,Hufflepuff
333,Hufflepuff
334,Ravenclaw
335,Ravenclaw
336,Slytherin
337,Ravenclaw
338,Gryffindor
339,Hufflepuff
340,Slytherin
341,Slytherin
342,Ravenclaw
343,Hufflepuff
344,Slytherin
345,Ravenclaw
346,Slytherin
347,Ravenclaw
348,Hufflepuff
349,Hufflepuff
350,Gryffindor
351,Ravenclaw
352,Gryffindor
353,Gryffindor
354,Hufflepuff
355,Gryffindor
356,Slytherin
357,Hufflepuff
358,Ravenclaw
359,Gryffindor
360,Hufflepuff
361,Hufflepuff
362,Ravenclaw
363,Ravenclaw
364,Slytherin
365,Ravenclaw
366,Slytherin
367,Hufflepuff
368,Slytherin
369,Hufflepuff
370,Ravenclaw
371,Hufflepuff
372,Hufflepuff
373,Hufflepuff
374,Hufflepuff
375,Ravenclaw
376,Ravenclaw
377,Hufflepuff
378,Slytherin
379,Ravenclaw
380,Hufflepuff
381,Gryffindor
382,Slytherin
383,Hufflepuff
384,Gryffindor
385,Hufflepuff
386,Ravenclaw
387,Hufflepuff
388,Ravenclaw
389,Hufflepuff
390,Hufflepuff
391,Slytherin
392,Hufflepuff
393,Hufflepuff
394,Ravenclaw
395,Ravenclaw
396,Gryffindor
397,Slytherin
398,Ravenclaw
399,Gryffindor
400,Ravenclaw
401,Hufflepuff
402,Slytherin
403,Hufflepuff
404,Ravenclaw
405,Hufflepuff
406,Slytherin
407,Ravenclaw
408,Slytherin
409,Gryffindor
410,Slytherin
411,Gryffindor
412,Gryffindor
413,Ravenclaw
414,Hufflepuff
415,Ravenclaw
416,Slytherin
417,Hufflepuff
418,Slytherin
419,Hufflepuff
420,Hufflepuff
421,Slytherin
422,Hufflepuff
423,Hufflepuff
424,Slytherin
425,Gryffindor
426,Hufflepuff
427,Hufflepuff
428,Hufflepuff
429,Ravenclaw
430,Gryffindor
431,Ravenclaw
432,Hufflepuff
433,Gryffindor
434,Hufflepuff
435,Hufflepuff
436,Ravenclaw
437,Ravenclaw
438,Slytherin
439,Ravenclaw
440,Hufflepuff
441,Ravenclaw
442,Ravenclaw
443,Gryffindor
444,Ravenclaw
445,Hufflepuff
446,Hufflepuff
447,Gryffindor
448,Ravenclaw
449,Gryffindor
450,Hufflepuff
451,Hufflepuff
452,Slytherin
453,Hufflepuff
454,Slytherin
455,Slytherin
456,Ravenclaw
457,Ravenclaw
458,Hufflepuff
459,Gryffindor
460,Hufflepuff
461,Gryffindor
462,Ravenclaw
463,Ravenclaw
464,Hufflepuff
465,Gryffindor
466,Gryffindor
467,Hufflepuff
468,Slytherin
469,Gryffindor
470,Ravenclaw
471,Gryffindor
472,Hufflepuff
473,Hufflepuff
474,Hufflepuff
475,Ravenclaw
476,Hufflepuff
477,Hufflepuff
478,Gryffindor
479,Ravenclaw
480,Hufflepuff
481,Hufflepuff
482,Gryffindor
483,Slytherin
484,Hufflepuff
485,Hufflepuff
486,Ravenclaw
487,Gryffindor
488,Hufflepuff
489,Hufflepuff
490,Gryffindor
491,Hufflepuff
492,Slytherin
493,Slytherin
494,Hufflepuff
495,Hufflepuff
496,Slytherin
497,Gryffindor
498,Ravenclaw
499,Ravenclaw
500,Gryffindor
501,Hufflepuff
502,Hufflepuff
503,Hufflepuff
504,Gryffindor
505,Gryffindor
506,Slytherin
507,Ravenclaw
508,Hufflepuff
509,Hufflepuff
510,Ravenclaw
511,Hufflepuff
512,Gryffindor
513,Hufflepuff
514,Hufflepuff
515,Ravenclaw
516,Ravenclaw
517,Gryffindor
518,Ravenclaw
519,Gryffindor
520,Hufflepuff
521,Gryffindor
522,Slytherin
523,Gryffindor
524,Slytherin
525,Ravenclaw
526,Gryffindor
527,Gryffindor
528,Gryffindor
529,Gryffindor
530,Ravenclaw
531,Hufflepuff
532,Gryffindor
533,Ravenclaw
534,Ravenclaw
535,Hufflepuff
536,Gryffindor
537,Ravenclaw
538,Slytherin
539,Ravenclaw
540,Slytherin
541,Gryffindor
542,Ravenclaw
543,Ravenclaw
544,Ravenclaw
545,Ravenclaw
546,Gryffindor
547,Slytherin
548,Hufflepuff
549,Gryffindor
550,Hufflepuff
551,Slytherin
552,Gryffindor
553,Hufflepuff
554,Hufflepuff
555,Hufflepuff
556,Gryffindor
557,Hufflepuff
558,Hufflepuff
559,Ravenclaw
560,Slytherin
561,Ravenclaw
562,Ravenclaw
563,Gryffindor
564,Hufflepuff
565,Hufflepuff
566,Hufflepuff
567,Ravenclaw
568,Ravenclaw
569,Hufflepuff
570,Hufflepuff
571,Hufflepuff
572,Ravenclaw
573,Ravenclaw
574,Hufflepuff
575,Gryffindor
576,Hufflepuff
577,Hufflepuff
578,Gryffindor
579,Slytherin
580,Gryffindor
581,Gryffindor
582,Hufflepuff
583,Gryffindor
584,Ravenclaw
585,Hufflepuff
586,Ravenclaw
587,Slytherin
588,Slytherin
589,Ravenclaw
590,Ravenclaw
591,Slytherin
592,Slytherin
593,Hufflepuff
594,Ravenclaw
595,Ravenclaw
596,Hufflepuff
597,Gryffindor
598,Ravenclaw
599,Slytherin
600,Ravenclaw
601,Ravenclaw
602,Slytherin
603,Gryffindor
604,Ravenclaw
605,Ravenclaw
606,Ravenclaw
607,Ravenclaw
608,Slytherin
609,Hufflepuff
610,Ravenclaw
611,Ravenclaw
612,Slytherin
613,Hufflepuff
614,Gryffindor
615,Gryffindor
616,Ravenclaw
617,Ravenclaw
618,Ravenclaw
619,Hufflepuff
620,Slytherin
621,Slytherin
622,Gryffindor
623,Hufflepuff
624,Gryffindor
625,Gryffindor
626,Hufflepuff
627,Hufflepuff
628,Gryffindor
629,Hufflepuff
630,Gryffindor
631,Ravenclaw
632,Ravenclaw
633,Hufflepuff
634,Ravenclaw
635,Ravenclaw
636,Ravenclaw
637,Slytherin
638,Ravenclaw
639,Hufflepuff
640,Hufflepuff
641,Slytherin
642,Slytherin
643,Ravenclaw
644,Hufflepuff
645,Slytherin
646,Hufflepuff
647,Hufflepuff
648,Hufflepuff
649,Slytherin
650,Slytherin
651,Slytherin
652,Hufflepuff
653,Slytherin
654,Ravenclaw
655,Hufflepuff
656,Ravenclaw
657,Gryffindor
658,Gryffindor
659,Hufflepuff
660,Slytherin
661,Hufflepuff
662,Slytherin
663,Ravenclaw
664,Ravenclaw
665,Hufflepuff
666,Slytherin
667,Hufflepuff
668,Hufflepuff
669,Hufflepuff
670,Gryffindor
671,Gryffindor
672,Slytherin
673,Ravenclaw
674,Hufflepuff
675,Ravenclaw
676,Hufflepuff
677,Gryffindor
678,Ravenclaw
679,Hufflepuff
680,Slytherin
681,Slytherin
682,Ravenclaw
683,Hufflepuff
684,Ravenclaw
685,Slytherin
686,Slytherin
687,Hufflepuff
688,Ravenclaw
689,Ravenclaw
690,Ravenclaw
691,Ravenclaw
692,Ravenclaw
693,Slytherin
694,Ravenclaw
695,Gryffindor
696,Ravenclaw
697,Ravenclaw
698,Ravenclaw
699,Gryffindor
700,Hufflepuff
701,Hufflepuff
702,Ravenclaw
703,Ravenclaw
704,Ravenclaw
705,Hufflepuff
706,Hufflepuff
707,Slytherin
708,Gryffindor
709,Gryffindor
710,Ravenclaw
711,Ravenclaw
712,Gryffindor
713,Ravenclaw
714,Slytherin
715,Slytherin
716,Hufflepuff
717,Hufflepuff
718,Ravenclaw
719,Gryffindor
720,Gryffindor
721,Ravenclaw
722,Slytherin
723,Hufflepuff
724,Slytherin
725,Hufflepuff
726,Slytherin
727,Ravenclaw
728,Gryffindor
729,Ravenclaw
730,Ravenclaw
731,Ravenclaw
732,Slytherin
733,Hufflepuff
734,Slytherin
735,Gryffindor
736,Gryffindor
737,Slytherin
738,Hufflepuff
739,Gryffindor
740,Hufflepuff
741,Hufflepuff
742,Hufflepuff
743,Ravenclaw
744,Gryffindor
745,Ravenclaw
746,Ravenclaw
747,Slytherin
748,Hufflepuff
749,Ravenclaw
750,Hufflepuff
751,Ravenclaw
752,Hufflepuff
753,Hufflepuff
754,Gryffindor
755,Gryffindor
756,Hufflepuff
757,Ravenclaw
758,Hufflepuff
759,Gryffindor
760,Hufflepuff
761,Slytherin
762,Ravenclaw
763,Hufflepuff
764,Hufflepuff
765,Hufflepuff
766,Gryffindor
767,Slytherin
768,Hufflepuff
769,Slytherin
770,Ravenclaw
771,Gryffindor
772,Ravenclaw
773,Hufflepuff
774,Gryffindor
775,Gryffindor
776,Slytherin
777,Hufflepuff
778,Slytherin
779,Ravenclaw
780,Slytherin
781,Ravenclaw
782,Ravenclaw
783,Slytherin
784,Hufflepuff
785,Hufflepuff
786,Ravenclaw
787,Slytherin
788,Ravenclaw
789,Gryffindor
790,Ravenclaw
791,Hufflepuff
792,Gryffindor
793,Hufflepuff
794,Ravenclaw
795,Gryffindor
796,Gryffindor
797,Ravenclaw
798,Ravenclaw
799,Ravenclaw
800,Slytherin
801,Hufflepuff
802,Ravenclaw
803,Ravenclaw
804,Ravenclaw
805,Gryffindor
806,Slytherin
807,Hufflepuff
808,Gryffindor
809,Ravenclaw
810,Slytherin
811,Hufflepuff
812,Slytherin
813,Hufflepuff
814,Slytherin
815,Ravenclaw
816,Slytherin
817,Ravenclaw
818,Ravenclaw
819,Ravenclaw
820,Hufflepuff
821,Hufflepuff
822,Slytherin
823,Ravenclaw
824,Hufflepuff
825,Ravenclaw
826,Hufflepuff
827,Ravenclaw
828,Ravenclaw
829,Slytherin
830,Gryffindor
831,Ravenclaw
832,Ravenclaw
833,Hufflepuff
834,Hufflepuff
835,Gryffindor
836,Hufflepuff
837,Ravenclaw
838,Ravenclaw
839,Gryffindor
840,Hufflepuff
841,Gryffindor
842,Slytherin
843,Gryffindor
844,Hufflepuff
845,Gryffindor
846,Hufflepuff
847,Slytherin
848,Hufflepuff
849,Hufflepuff
850,Ravenclaw
851,Slytherin
852,Ravenclaw
853,Hufflepuff
854,Slytherin
855,Slytherin
856,Slytherin
857,Slytherin
858,Ravenclaw
859,Gryffindor
860,Gryffindor
861,Ravenclaw
862,Gryffindor
863,Hufflepuff
864,Hufflepuff
865,Gryffindor
866,Slytherin
867,Hufflepuff
868,Gryffindor
869,Gryffindor
870,Slytherin
871,Slytherin
872,Hufflepuff
873,Slytherin
874,Hufflepuff
875,Hufflepuff
876,Hufflepuff
877,Ravenclaw
878,Ravenclaw
879,Gryffindor
880,Gryffindor
881,Slytherin
882,Hufflepuff
883,Slytherin
884,Gryffindor
885,Gryffindor
886,Slytherin
887,Slytherin
888,Slytherin
889,Slytherin
890,Slytherin
891,Gryffindor
892,Hufflepuff
893,Slytherin
894,Gryffindor
895,Slytherin
896,Ravenclaw
897,Slytherin
898,Hufflepuff
899,Hufflepuff
900,Gryffindor
901,Ravenclaw
902,Hufflepuff
903,Hufflepuff
904,Slytherin
905,Slytherin
906,Hufflepuff
907,Slytherin
908,Gryffindor
909,Hufflepuff
910,Ravenclaw
911,Hufflepuff
912,Gryffindor
913,Ravenclaw
914,Ravenclaw
915,Hufflepuff
916,Hufflepuff
917,Ravenclaw
918,Gryffindor
919,Hufflepuff
920,Gryffindor
921,Gryffindor
922,Slytherin
923,Ravenclaw
924,Hufflepuff
925,Ravenclaw
926,Gryffindor
927,Ravenclaw
928,Hufflepuff
929,Gryffindor
930,Slytherin
931,Slytherin
932,Hufflepuff
933,Gryffindor
934,Ravenclaw
935,Slytherin
936,Hufflepuff
937,Hufflepuff
938,Ravenclaw
939,Ravenclaw
940,Gryffindor
941,Slytherin
942,Gryffindor
943,Ravenclaw
944,Hufflepuff
945,Gryffindor
946,Hufflepuff
947,Hufflepuff
948,Gryffindor
949,Hufflepuff
950,Hufflepuff
951,Gryffindor
952,Slytherin
953,Hufflepuff
954,Hufflepuff
955,Slytherin
956,Gryffindor
957,Hufflepuff
958,Hufflepuff
959,Hufflepuff
960,Hufflepuff
961,Ravenclaw
962,Gryffindor
963,Ravenclaw
964,Hufflepuff
965,Hufflepuff
966,Hufflepuff
967,Hufflepuff
968,Gryffindor
969,Hufflepuff
970,Hufflepuff
971,Slytherin
972,Ravenclaw
973,Ravenclaw
974,Gryffindor
975,Gryffindor
976,Slytherin
977,Hufflepuff
978,Gryffindor
979,Ravenclaw
980,Ravenclaw
981,Gryffindor
982,Ravenclaw
983,Ravenclaw
984,Hufflepuff
985,Slytherin
986,Ravenclaw
987,Gryffindor
988,Ravenclaw
989,Ravenclaw
990,Slytherin
991,Hufflepuff
992,Ravenclaw
993,Hufflepuff
994,Ravenclaw
995,Slytherin
996,Gryffindor
997,Hufflepuff
998,Hufflepuff
999,Hufflepuff
1000,Ravenclaw
1001,Ravenclaw
1002,Ravenclaw
1003,Ravenclaw
1004,Slytherin
1005,Gryffindor
1006,Hufflepuff
1007,Ravenclaw
1008,Gryffindor
1009,Ravenclaw
1010,Hufflepuff
1011,Slytherin
1012,Hufflepuff
1013,Gryffindor
1014,Gryffindor
1015,Ravenclaw
1016,Hufflepuff
1017,Hufflepuff
1018,Ravenclaw
1019,Gryffindor
1020,Ravenclaw
1021,Slytherin
1022,Ravenclaw
1023,Gryffindor
1024,Ravenclaw
1025,Hufflepuff
1026,Ravenclaw
1027,Hufflepuff
1028,Ravenclaw
1029,Hufflepuff
1030,Slytherin
1031,Hufflepuff
1032,Ravenclaw
1033,Ravenclaw
1034,Slytherin
1035,Gryffindor
1036,Ravenclaw
1037,Slytherin
1038,Hufflepuff
1039,Gryffindor
1040,Ravenclaw
1041,Slytherin
1042,Gryffindor
1043,Ravenclaw
1044,Ravenclaw
1045,Gryffindor
1046,Hufflepuff
1047,Ravenclaw
1048,Ravenclaw
1049,Ravenclaw
1050,Slytherin
1051,Gryffindor
1052,Hufflepuff
1053,Slytherin
1054,Ravenclaw
1055,Gryffindor
1056,Ravenclaw
1057,Ravenclaw
1058,Gryffindor
1059,Ravenclaw
1060,Ravenclaw
1061,Gryffindor
1062,Gryffindor
1063,Slytherin
1064,Ravenclaw
1065,Hufflepuff
1066,Hufflepuff
1067,Gryffindor
1068,Hufflepuff
1069,Ravenclaw
1070,Hufflepuff
1071,Slytherin
1072,Hufflepuff
1073,Hufflepuff
1074,Slytherin
1075,Slytherin
1076,Ravenclaw
1077,Hufflepuff
1078,Hufflepuff
1079,Slytherin
1080,Ravenclaw
1081,Slytherin
1082,Slytherin
1083,Hufflepuff
1084,Gryffindor
1085,Gryffindor
1086,Hufflepuff
1087,Gryffindor
1088,Gryffindor
1089,Hufflepuff
1090,Ravenclaw
1091,Hufflepuff
1092,Hufflepuff
1093,Hufflepuff
1094,Hufflepuff
1095,Hufflepuff
1096,Ravenclaw
1097,Slytherin
1098,Gryffindor
1099,Hufflepuff
1100,Slytherin
1101,Gryffindor
1102,Ravenclaw
1103,Ravenclaw
1104,Ravenclaw
1105,Hufflepuff
1106,Hufflepuff
1107,Hufflepuff
1108,Ravenclaw
1109,Hufflepuff
1110,Hufflepuff
1111,Slytherin
1112,Hufflepuff
1113,Gryffindor
1114,Hufflepuff
1115,Hufflepuff
1116,Hufflepuff
1117,Hufflepuff
1118,Slytherin
1119,Ravenclaw
1120,Gryffindor
1121,Ravenclaw
1122,Slytherin
1123,Slytherin
1124,Gryffindor
1125,Gryffindor
1126,Slytherin
1127,Gryffindor
1128,Slytherin
1129,Hufflepuff
1130,Slytherin
1131,Hufflepuff
1132,Hufflepuff
1133,Slytherin
1134,Gryffindor
1135,Gryffindor
1136,Ravenclaw
1137,Ravenclaw
1138,Ravenclaw
1139,Slytherin
1140,Hufflepuff
1141,Gryffindor
1142,Slytherin
1143,Hufflepuff
1144,Ravenclaw
1145,Slytherin
1146,Gryffindor
1147,Gryffindor
1148,Hufflepuff
1149,Slytherin
1150,Slytherin
1151,Slytherin
1152,Ravenclaw
1153,Gryffindor
1154,Gryffindor
1155,Gryffindor
1156,Ravenclaw
1157,Hufflepuff
1158,Slytherin
1159,Gryffindor
1160,Hufflepuff
1161,Slytherin
1162,Gryffindor
1163,Hufflepuff
1164,Ravenclaw
1165,Hufflepuff
1166,Ravenclaw
1167,Ravenclaw
1168,Gryffindor
1169,Hufflepuff
1170,Ravenclaw
1171,Hufflepuff
1172,Hufflepuff
1173,Hufflepuff
1174,Ravenclaw
1175,Ravenclaw
1176,Hufflepuff
1177,Gryffindor
1178,Hufflepuff
1179,Slytherin
1180,Slytherin
1181,Ravenclaw
1182,Hufflepuff
1183,Slytherin
1184,Hufflepuff
1185,Ravenclaw
1186,Gryffindor
1187,Gryffindor
1188,Hufflepuff
1189,Ravenclaw
1190,Slytherin
1191,Gryffindor
1192,Ravenclaw
1193,Gryffindor
1194,Ravenclaw
1195,Gryffindor
1196,Ravenclaw
1197,Ravenclaw
1198,Hufflepuff
1199,Ravenclaw
1200,Slytherin
1201,Hufflepuff
1202,Hufflepuff
1203,Ravenclaw
1204,Ravenclaw
1205,Hufflepuff
1206,Ravenclaw
1207,Slytherin
1208,Slytherin
1209,Gryffindor
1210,Hufflepuff
1211,Hufflepuff
1212,Slytherin
1213,Hufflepuff
1214,Hufflepuff
1215,Gryffindor
1216,Slytherin
1217,Ravenclaw
1218,Ravenclaw
1219,Ravenclaw
1220,Slytherin
1221,Hufflepuff
1222,Slytherin
1223,Gryffindor
1224,Hufflepuff
1225,Ravenclaw
1226,Gryffindor
1227,Slytherin
1228,Slytherin
1229,Slytherin
1230,Ravenclaw
1231,Ravenclaw
1232,Gryffindor
1233,Hufflepuff
1234,Hufflepuff
1235,Hufflepuff
1236,Ravenclaw
1237,Gryffindor
1238,Hufflepuff
1239,Slytherin
1240,Hufflepuff
1241,Slytherin
1242,Hufflepuff
1243,Ravenclaw
1244,Hufflepuff
1245,Hufflepuff
1246,Ravenclaw
1247,Ravenclaw
1248,Ravenclaw
1249,Hufflepuff
1250,Hufflepuff
1251,Hufflepuff
1252,Hufflepuff
1253,Hufflepuff
1254,Slytherin
1255,Ravenclaw
1256,Ravenclaw
1257,Ravenclaw
1258,Ravenclaw
1259,Gryffindor
1260,Hufflepuff
1261,Hufflepuff
1262,Hufflepuff
1263,Slytherin
1264,Slytherin
1265,Ravenclaw
1266,Slytherin
1267,Slytherin
1268,Hufflepuff
1269,Gryffindor
1270,Hufflepuff
1271,Gryffindor
1272,Slytherin
1273,Gryffindor
1274,Hufflepuff
1275,Ravenclaw
1276,Hufflepuff
1277,Gryffindor
1278,Hufflepuff
1279,Hufflepuff
1280,Ravenclaw
1281,Hufflepuff
1282,Ravenclaw
1283,Hufflepuff
1284,Slytherin
1285,Gryffindor
1286,Hufflepuff
1287,Hufflepuff
1288,Ravenclaw
1289,Hufflepuff
1290,Ravenclaw
1291,Hufflepuff
1292,Slytherin
1293,Slytherin
1294,Ravenclaw
1295,Slytherin
1296,Ravenclaw
1297,Hufflepuff
1298,Ravenclaw
1299,Ravenclaw
1300,Slytherin
1301,Gryffindor
1302,Hufflepuff
1303,Hufflepuff
1304,Gryffindor
1305,Slytherin
1306,Hufflepuff
1307,Ravenclaw
1308,Ravenclaw
1309,Gryffindor
1310,Ravenclaw
1311,Hufflepuff
1312,Hufflepuff
1313,Gryffindor
1314,Hufflepuff
1315,Hufflepuff
1316,Hufflepuff
1317,Slytherin
1318,Slytherin
1319,Hufflepuff
1320,Gryffindor
1321,Gryffindor
1322,Hufflepuff
1323,Gryffindor
1324,Ravenclaw
1325,Gryffindor
1326,Ravenclaw
1327,Ravenclaw
1328,Gryffindor
1329,Gryffindor
1330,Gryffindor
1331,Hufflepuff
1332,Ravenclaw
1333,Hufflepuff
1334,Ravenclaw
1335,Slytherin
1336,Ravenclaw
1337,Hufflepuff
1338,Ravenclaw
1339,Hufflepuff
1340,Slytherin
1341,Ravenclaw
1342,Hufflepuff
1343,Slytherin
1344,Ravenclaw
1345,Hufflepuff
1346,Slytherin
1347,Hufflepuff
1348,Gryffindor
1349,Slytherin
1350,Slytherin
1351,Ravenclaw
1352,Ravenclaw
1353,Ravenclaw
1354,Hufflepuff
1355,Ravenclaw
1356,Hufflepuff
1357,Hufflepuff
1358,Gryffindor
1359,Ravenclaw
1360,Hufflepuff
1361,Slytherin
1362,Gryffindor
1363,Gryffindor
1364,Ravenclaw
1365,Hufflepuff
1366,Hufflepuff
1367,Slytherin
1368,Ravenclaw
1369,Hufflepuff
1370,Gryffindor
1371,Ravenclaw
1372,Ravenclaw
1373,Hufflepuff
1374,Slytherin
1375,Hufflepuff
1376,Gryffindor
1377,Gryffindor
1378,Ravenclaw
1379,Slytherin
1380,Hufflepuff
1381,Ravenclaw
1382,Hufflepuff
1383,Ravenclaw
1384,Ravenclaw
1385,Hufflepuff
1386,Hufflepuff
1387,Ravenclaw
1388,Ravenclaw
1389,Ravenclaw
1390,Gryffindor
1391,Hufflepuff
1392,Ravenclaw
1393,Slytherin
1394,Ravenclaw
1395,Hufflepuff
1396,Ravenclaw
1397,Gryffindor
1398,Hufflepuff
1399,Gryffindor
1400,Gryffindor
1401,Slytherin
1402,Slytherin
1403,Ravenclaw
1404,Gryffindor
1405,Gryffindor
1406,Gryffindor
1407,Ravenclaw
1408,Hufflepuff
1409,Hufflepuff
1410,Gryffindor
1411,Hufflepuff
1412,Slytherin
1413,Ravenclaw
1414,Ravenclaw
1415,Hufflepuff
1416,Slytherin
1417,Gryffindor
1418,Ravenclaw
1419,Ravenclaw
1420,Hufflepuff
1421,Ravenclaw
1422,Hufflepuff
1423,Gryffindor
1424,Slytherin
1425,Hufflepuff
1426,Hufflepuff
1427,Hufflepuff
1428,Ravenclaw
1429,Ravenclaw
1430,Slytherin
1431,Ravenclaw
1432,Hufflepuff
1433,Ravenclaw
1434,Gryffindor
1435,Hufflepuff
1436,Slytherin
